Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
AKBA,"Akebia Therapeutics, Inc.",8.855,N/A,1078.81301,-3.64,N/A,1.840582016
AKCA,"Akcea Therapeutics, Inc.",17.93,N/A,1646.08453,-12.98,N/A,1.292347444
AKR,Acadia Realty Trust,24.85,0.044817927,2172.85551,56.39,2.541411391,0.513706077
AKRO,"Akero Therapeutics, Inc.",24.89,N/A,772.52095,-4.76,N/A,0.522729783
AKRX,"Akorn, Inc.",1.445,N/A,182.9117,-0.5,N/A,0.995780296
AKS,AK Steel Holding Corp.,3.03,N/A,966.57245,9.71,N/A,1.888459392
AKTS,"Akoustis Technologies, Inc.",7.635,N/A,273.4006,-6.91,N/A,0.435719038
ALBO,"Albireo Pharma, Inc.",25.16,N/A,313.87638,-4.36,N/A,1.577582976
ALCO,"Alico, Inc.",35.98,0.007563025,267.036,6.59,0.049076632,0.657787605
ALDR,"Alder Biopharmaceuticals, Inc.",18.88,N/A,N/A,N/A,N/A,N/A
ALDX,"Aldeyra Therapeutics, Inc.",5.32,N/A,148.709428,-2.46,N/A,1.753248525
ALE,"ALLETE, Inc.",81.81,0.028264573,4245.55956,21.42,0.608143493,0.328914219
ALEC,"Alector, Inc.",30.22,N/A,2071.59,-20.08,N/A,1.617304642
ALEX,"Alexander & Baldwin, Inc.",23.03,0.021645022,1669.1598,-9.23,-0.20044097,0.778041464
ALG,"Alamo Group, Inc.",127.75,0.003670441,1514.3193,21.41,0.07875731,0.857453891
ALGT,Allegiant Travel Co.,166.65,0.017071089,2671.55776,11.66,0.196255721,0.794606976
ALLK,"Allakos, Inc.",68.5,N/A,3267.9219,-39.82,N/A,-0.994404511
ALLO,"Allogene Therapeutics, Inc.",23.51,N/A,2854.94484,-14.66,N/A,1.139932117
ALOT,"AstroNova, Inc.",13.02,0.021722265,91.1323,16.85,0.36077825,0.404886635
